Codes W1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
14,6.38,7.51,8.26,10.1,13.01,15.02,16.05,5.38,13.18,3.2,1.03,3.87,6.36,3.18,0.0,0.02,2.88,2.4,1.0,1.0,2.39,1.0,10.53,3.28,6.18,11.93,12.41,0.04,4.39,4.38,5.52
15,6.36,7.5,8.24,10.09,13.01,15.01,16.04,5.359999999999999,13.2,3.18,1.01,3.89,6.36,3.16,1.02,0.0,2.9,2.38,1.0,1.0,2.37,1.0,10.55,3.28,6.19,11.94,12.42,0.02,4.39,4.38,5.5
16,10.26,11.0,11.53,12.16,15.57,16.45,17.369999999999997,8.26,10.32,7.08,3.91,1.01,7.24,7.06,3.88,3.9,0.0,5.16,3.05,3.06,5.15,3.05,9.27,4.38,5.47,10.83,11.36,2.92,5.27,5.26,8.0
17,3.42,6.13,7.08,8.09,12.32,13.39,15.48,2.56,16.39,2.0,3.37,7.15,5.99,2.0,3.4,3.38,7.16,0.0,2.18,2.17,0.01,2.18,11.15,3.13,6.74,12.35,12.77,2.36,4.01,4.01,4.14
18,6.49,7.6,8.34,10.17,13.06,15.06,16.09,5.52,13.23,3.42,2.0,5.04,5.359999999999999,3.4,2.0,2.0,5.05,3.18,0.0,0.01,2.17,0.0,9.72,2.28,5.31,11.07,11.54,1.0,3.39,3.38,5.61
19,6.48,7.6,8.33,10.17,13.06,15.06,16.09,5.52,13.24,3.41,2.0,5.05,5.359999999999999,3.39,2.0,2.0,5.0600000000000005,3.17,1.01,0.0,2.16,0.01,9.73,2.28,5.32,11.08,11.55,1.0,3.39,3.38,5.6
20,3.43,6.14,7.09,8.09,12.33,13.4,15.48,2.5700000000000003,16.380000000000003,2.0,3.36,7.14,5.98,2.0,3.39,3.37,7.15,1.01,3.17,3.16,0.0,2.17,11.15,3.13,6.74,12.34,12.77,2.35,4.01,4.0,4.14
21,6.49,7.6,8.34,10.17,13.06,15.06,16.09,5.52,13.23,3.42,2.0,5.04,5.359999999999999,3.4,2.0,2.0,5.05,3.18,1.0,1.01,3.17,0.0,9.72,2.28,5.31,11.07,11.54,1.0,3.39,3.38,5.61
22,17.45,17.86,18.17,18.560000000000002,21.18,21.82,22.52,16.71,12.87,15.88,13.55,12.28,10.35,15.87,13.53,13.55,12.27,15.15,12.72,12.73,15.15,12.72,0.0,8.04,4.5,1.64,2.19,10.56,7.33,7.34,13.86
23,7.45,8.4,10.05,10.809999999999999,13.53,15.48,16.48,6.69,13.72,5.93,5.279999999999999,6.38,2.08,5.92,5.279999999999999,5.279999999999999,6.38,5.13,3.28,3.28,5.13,3.28,11.04,0.0,3.63,9.24,9.67,3.28,1.11,1.1,6.4
24,12.08,12.68,13.12,13.66,16.79,17.59,18.439999999999998,11.31,12.14,10.46,8.190000000000001,7.47,5.109999999999999,10.440000000000001,8.18,8.190000000000001,7.47,8.74,7.31,7.32,8.74,7.31,6.5,5.63,0.0,5.8,6.28,6.2,3.09,3.1,9.68
25,18.57,18.95,20.240000000000002,20.6,22.13,22.73,23.39,17.89,15.35,17.14,15.95,13.84,11.43,17.130000000000003,15.93,15.94,13.83,16.35,15.07,15.08,16.34,15.07,2.6399999999999997,12.24,7.8,0.0,0.55,11.95,8.41,8.42,14.95
26,18.96,20.33,20.619999999999997,20.97,22.46,23.06,23.71,18.3,15.86,17.58,16.43,15.36,11.83,17.57,16.41,16.42,15.36,16.77,15.54,15.55,16.77,15.54,3.19,12.67,8.280000000000001,1.55,0.0,12.43,8.81,8.82,15.34
27,6.34,7.48,8.23,10.08,13.0,15.0,16.03,5.34,13.22,3.16,1.01,3.91,6.36,3.14,1.04,1.02,3.92,3.36,2.0,2.0,3.35,2.0,13.56,5.279999999999999,8.2,15.95,16.43,0.0,4.39,4.38,5.49
28,8.18,10.030000000000001,10.629999999999999,11.33,13.92,15.85,16.810000000000002,7.52,15.11,6.9,6.39,7.26,1.03,6.89,6.39,6.39,7.27,6.01,5.390000000000001,5.390000000000001,6.01,5.390000000000001,10.33,2.1100000000000003,5.09,11.41,11.81,6.39,0.0,0.01,7.03
29,8.17,10.02,10.620000000000001,11.33,13.92,15.85,16.810000000000002,7.51,15.11,6.89,6.38,7.25,1.02,6.88,6.38,6.38,7.26,6.01,5.38,5.38,6.0,5.38,10.34,2.1,5.1,11.42,11.82,6.38,1.01,0.0,7.03
30,5.359999999999999,1.01,2.1100000000000003,3.23,7.68,8.77,10.879999999999999,5.51,18.93,6.01,7.5,10.99,10.02,6.02,7.52,7.5,11.0,6.14,7.61,7.6,6.14,7.61,17.86,8.4,12.68,18.95,20.34,7.49,10.030000000000001,10.030000000000001,0.0
