Codes W1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
16,7.26,8.00,8.53,9.16,11.57,12.45,13.37,6.26,7.32,5.08,2.91,0.01,5.24,5.06,2.88,2.90,0,5.16,3.05,3.06,5.15,3.05,9.27,4.38,5.47,10.83,11.36,2.92,5.27,5.26,8.00
17,2.42,4.13,5.08,6.09,9.32,10.39,11.48,1.56,12.39,1.00,2.37,5.15,3.99,1.00,2.40,2.38,5.16,0,2.18,2.17,0.01,2.18,11.15,3.13,6.74,12.35,12.77,2.36,4.01,4.01,4.14
18,4.49,5.60,6.34,7.17,10.06,11.06,12.09,3.52,10.23,2.42,1.00,3.04,3.36,2.40,1.00,1.00,3.05,2.18,0,0.01,2.17,0.00,9.72,2.28,5.31,11.07,11.54,1.00,3.39,3.38,5.61
19,4.48,5.60,6.33,7.17,10.06,11.06,12.09,3.52,10.24,2.41,1.00,3.05,3.36,2.39,1.00,1.00,3.06,2.17,0.01,0,2.16,0.01,9.73,2.28,5.32,11.08,11.55,1.00,3.39,3.38,5.60
20,2.43,4.14,5.09,6.09,9.33,10.40,11.48,1.57,12.38,1.00,2.36,5.14,3.98,1.00,2.39,2.37,5.15,0.01,2.17,2.16,0,2.17,11.15,3.13,6.74,12.34,12.77,2.35,4.01,4.00,4.14
21,4.49,5.60,6.34,7.17,10.06,11.06,12.09,3.52,10.23,2.42,1.00,3.04,3.36,2.40,1.00,1.00,3.05,2.18,0.00,0.01,2.17,0,9.72,2.28,5.31,11.07,11.54,1.00,3.39,3.38,5.61
22,13.45,13.86,14.17,14.56,16.18,16.82,17.52,12.71,9.87,11.88,10.55,9.28,7.35,11.87,10.53,10.55,9.27,11.15,9.72,9.73,11.15,9.72,0,8.04,4.50,1.64,2.19,10.56,7.33,7.34,13.86
23,5.45,6.40,7.05,7.81,10.53,11.48,12.48,4.69,10.72,3.93,3.28,4.38,1.08,3.92,3.28,3.28,4.38,3.13,2.28,2.28,3.13,2.28,8.04,0,3.63,9.24,9.67,3.28,1.11,1.10,6.40
24,9.08,9.68,10.12,10.66,12.79,13.59,14.44,8.31,9.14,7.46,6.19,5.47,3.11,7.44,6.18,6.19,5.47,6.74,5.31,5.32,6.74,5.31,4.50,3.63,0,5.80,6.28,6.20,3.09,3.10,9.68
25,14.57,14.95,15.24,15.60,17.13,17.73,18.39,13.89,11.35,13.14,11.95,10.84,8.43,13.13,11.93,11.94,10.83,12.35,11.07,11.08,12.34,11.07,1.64,9.24,5.80,0,0.55,11.95,8.41,8.42,14.95
26,14.96,15.33,15.62,15.97,17.46,18.06,18.71,14.30,11.86,13.58,12.43,11.36,8.83,13.57,12.41,12.42,11.36,12.77,11.54,11.55,12.77,11.54,2.19,9.67,6.28,0.55,0,12.43,8.81,8.82,15.34
27,4.34,5.48,6.23,7.08,10.00,11.00,12.03,3.34,10.22,2.16,0.01,2.91,4.36,2.14,0.04,0.02,2.92,2.36,1.00,1.00,2.35,1.00,10.56,3.28,6.20,11.95,12.43,0,4.39,4.38,5.49
28,6.18,7.03,7.63,8.33,10.92,11.85,12.81,5.52,11.11,4.90,4.39,5.26,0.03,4.89,4.39,4.39,5.27,4.01,3.39,3.39,4.01,3.39,7.33,1.11,3.09,8.41,8.81,4.39,0,0.01,7.03
29,6.17,7.02,7.62,8.33,10.92,11.85,12.81,5.51,11.11,4.89,4.38,5.25,0.02,4.88,4.38,4.38,5.26,4.01,3.38,3.38,4.00,3.38,7.34,1.10,3.10,8.42,8.82,4.38,0.01,0,7.03
30,3.36,0.01,1.11,2.23,5.68,6.77,7.88,3.51,14.93,4.01,5.50,7.99,7.02,4.02,5.52,5.50,8.00,4.14,5.61,5.60,4.14,5.61,13.86,6.40,9.68,14.95,15.34,5.49,7.03,7.03,0
